,PARK_NO,PARK_NAME,ITEM_ID,ITEM_TYPE,DESCRIPTION,EASTING,NORTHING,ORIG_FID,LONGITUDE,LATITUDE,FIXED
15,D0658,KIANAWAH ROAD PARK (NO.330),180002,BBQ,BBQ Electric,"514,476.69","6,962,877.79",141829095,153.1465096,-27.45754016,ELECTRIC
16,D0658,KIANAWAH ROAD PARK (NO.330),180001,BBQ,BBQ Electric,"514,481.29","6,962,858.79",141829095,153.14655630000001,-27.45771164,ELECTRIC
17,D1617,GREENWAYS ESPLANADE PARK,186913,BBQ,Wood Barbecue,"502,009.3391","6,943,027.118",141829095,153.02036830000003,-27.63682538,WOOD
18,D0127,SEDGLEY PARK,95854,BBQ,Wood Barbecue,"500,679.92","6,966,020.99",141829095,153.0068793,-27.42924015,WOOD
19,D0640,MEADOWLANDS PICNIC GROUND PARK,164808,BBQ,Wood Barbecue,"512,000.81","6,958,932.44",141829095,153.1214918,-27.49318273,WOOD
20,D0357,HANLON PARK,7509,BBQ,Wood Barbecue,"504,139.0098",6958317.316000001,141829095,153.04190400000002,-27.49878276,WOOD
21,D0371,PRINCESS STREET PARK (NOS.5-21),19662,BBQ,Wood Barbecue,"502,280.4789","6,958,070.346",141829095,153.0230884,-27.50101679,WOOD
22,D0467,ANZAC PARK,176760,BBQ,Wood Barbecue,"498,161.86","6,960,452.61",141829095,152.9813936,-27.47951047,WOOD
23,D1186,MARTINDALE STREET PARK,20329,BBQ,Wood Barbecue,"500,491.0977","6,972,020.866",141829095,153.0049664,-27.37507289,WOOD
24,D0119,C.B.MOTT PARK,22125,BBQ,Wood Barbecue,"505,818.83","6,956,445.32",141829095,153.0589197,-27.51567686,WOOD
25,D0984,ESPLANADE PARK,34841,BBQ,Wood Barbecue,499968.70700000005,"6,956,657.634",141829095,152.9996831,-27.51377259,WOOD
26,D0467,ANZAC PARK,176757,BBQ,Wood Barbecue,"498,199.96","6,960,462.76",141829095,152.9817793,-27.47941888,WOOD
27,D0467,ANZAC PARK,5926,BBQ,Wood Barbecue,"498,170.05","6,960,518.91",141829095,152.98147659999998,-27.47891192,WOOD
28,D0595,SHE-OAK PARK,16382,BBQ,Wood Barbecue,"512,673.09","6,959,856.87",141829095,153.1282881,-27.48483092,WOOD
29,D0035,COLMSLIE RESERVE,18676,BBQ,Wood Barbecue,"508,207.99","6,963,684.89",141829095,153.0830626,-27.45030594,WOOD
30,D1619,TORQUAY CRESCENT (NO.1695) PARK,27282,BBQ,Wood Barbecue,"513,765.04","6,961,481.11",141829095,153.1393233,-27.47015673,WOOD
31,D1874,KARAWATHA FOREST SOUTH,29244,BBQ,Wood Barbecue,"504,703.5615","6,942,359.254",141829095,153.04768180000002,-27.642847999999997,WOOD
32,D0927,JAMES FRENEY PARK,14250,BBQ,Wood Barbecue,"501,193.82","6,949,152.52",141829095,153.01209550000002,-27.58152739,WOOD
33,D0579,MARNHAM STREET PARK,4411,BBQ,Wood Barbecue,"502,597.9522",6947908.853999999,141829095,153.02632450000002,-27.59275303,WOOD
34,D0640,MEADOWLANDS PICNIC GROUND PARK,1366,BBQ,Wood Barbecue,"512,159.22","6,958,975.76",141829095,153.1230951,-27.49279023,WOOD
35,D0640,MEADOWLANDS PICNIC GROUND PARK,1368,BBQ,Wood Barbecue,"512,023.31","6,959,046.52",141829095,153.12171850000001,-27.49215262,WOOD
36,D1148,ALLARA PLACE PARK,20115,BBQ,Wood Barbecue,"509,531.7177",6948979.856000001,141829095,153.0965742,-27.58305312,WOOD
37,D0640,MEADOWLANDS PICNIC GROUND PARK,1367,BBQ,Wood Barbecue,"512,190.49","6,958,957.87",141829095,153.1234118,-27.49295146,WOOD
38,D1061,GEMSTONE CRESCENT PARK,16320,BBQ,Wood Barbecue,"501,652.2446","6,947,983.339",141829095,153.01674169999998,-27.59208208,WOOD
39,D0662,KENNA STREET PARK,41983,BBQ,Wood Barbecue,"500,778.74","6,971,595.65",141829095,153.0078756,-27.37891165,WOOD
40,D0382,ROWLINSON PARK,171749,BBQ,Wood Barbecue,"501,406.53","6,955,995.9",141829095,153.0142426,-27.51974594,WOOD
41,D0662,KENNA STREET PARK,14397,BBQ,Wood Barbecue,"500,778.83","6,971,595.55",141829095,153.00787649999998,-27.37891255,WOOD
42,D0500,EMERSON PARK,40855,BBQ,Wood Barbecue,"501,536.23","6,967,033.06",141829095,153.01554199999998,-27.42010244,WOOD
43,D1299,BENBEK CIRCUIT PARK,178521,BBQ,Wood Barbecue,"504,222.75","6,946,938.34",141829095,153.0427916,-27.60151056,WOOD
44,D0824,GRACEVILLE RIVERSIDE PARKLANDS,35008,BBQ,Wood Barbecue,"499,258.72","6,955,637.2",141829095,152.9924935,-27.52298478,WOOD
45,D0640,MEADOWLANDS PICNIC GROUND PARK,164805,BBQ,Wood Barbecue,"512,031.9","6,958,958.85",141829095,153.1218063,-27.49294403,WOOD
46,D0913,HOLDEN PARK,7494,BBQ,Wood Barbecue,"504,193.34","6,947,655.14",141829095,153.04249099999998,-27.59503951,WOOD
47,D1299,BENBEK CIRCUIT PARK,18496,BBQ,Wood Barbecue,"504,216.17","6,946,960.85",141829095,153.0427248,-27.60130737,WOOD
48,D0824,GRACEVILLE RIVERSIDE PARKLANDS,178543,BBQ,Wood Barbecue,"499,398.14","6,955,541.86",141829095,152.9939053,-27.52384557,WOOD
49,D0389,YERONGA MEMORIAL PARK,2479,BBQ,Wood Barbecue,"501,983.74","6,956,242.55",141829095,153.0200871,-27.51751848,WOOD
50,D0580,D.J.SHERRINGTON PARK,135152,BBQ,Wood Barbecue ON SANDSTONE BENCHTOP,"498,640.97","6,947,375.43",141829095,152.98622869999997,-27.59757051,WOOD
51,D0696,A.R.C.HILL PARK,121780,BBQ,concrete base with Wood Barbecue stove,"505,486.22","6,970,857.56",141829095,153.0554867,-27.385564399999996,WOOD
52,D2612,EUNGELLA TERRACE PARK,187066,BBQ,d a christie,"498,199.7838","6,943,317.669",141829095,152.9817519,-27.63420264,ELECTRIC
53,D2612,EUNGELLA TERRACE PARK,187117,BBQ,D A Christie electric,"497,923.6552",6943367.3889999995,141829095,152.978953,-27.63375339,ELECTRIC
54,D0463,KALINGA PARK,173826,BBQ,double electric,"505,057.0691","6,968,633.996",141829095,153.0511555,-27.40564057,ELECTRIC
55,D0463,KALINGA PARK,173829,BBQ,double electric,"505,076.3149","6,968,614.64",141829095,153.0513503,-27.40581525,ELECTRIC
56,D0463,KALINGA PARK,34152,BBQ,double electric,"505,099.2301",6968592.0139999995,141829095,153.05158219999998,-27.40601943,ELECTRIC
57,D0480,PERRIN PARK,181274,BBQ,Double electric,"499,213.73","6,959,142.09",141829095,152.9920402,-27.49134282,ELECTRIC
58,D0095,NEW FARM PARK,181060,BBQ,Double Plate,"505,125.88","6,961,389.48",141829095,153.0518822,-27.471044,ELECTRIC
59,D0095,NEW FARM PARK,181061,BBQ,Double Plate,"505,118","6,961,376.19",141829095,153.05180249999998,-27.47116401,ELECTRIC
60,D0119,C.B.MOTT PARK,118693,BBQ,electric,"505,700.47","6,956,414.72",141829095,153.05772140000002,-27.51595362,ELECTRIC
61,D0436,COORA STREET PARK,46877,BBQ,electric,"510,511","6,951,964",141829095,153.1064701,-27.55610548,ELECTRIC
62,D1893,STUMERS ROAD RESERVE,80331,BBQ,electric,"480,686.47","6,953,802.85",141829095,152.8043952,-27.53940772,ELECTRIC
63,D0663,BOOKER PLACE PARK,120036,BBQ,electric,"489,542.19","6,951,260.23",141829095,152.8940625,-27.56245942,ELECTRIC
64,D0160,WALTON BRIDGE RESERVE,50925,BBQ,Electric,"495,478.57","6,964,302.92",141829095,152.9542467,-27.4447436,ELECTRIC
65,D1338,LAKEWOOD AVENUE PARK,46629,BBQ,electric,"503,869.6593",6943281.4860000005,141829095,153.03922519999998,-27.63452495,ELECTRIC
66,D1263,KURILPA POINT PARK,86,BBQ,electric,"501,493.2977",6961533.6110000005,141829095,153.01511440000002,-27.46975163,ELECTRIC
67,D0707,TAYLOR BRIDGE RESERVE,181708,BBQ,electric,"497,319.4492",6957500.232000001,141829095,152.9728599,-27.50616301,ELECTRIC
68,D0064,GLINDEMANN PARK,13749,BBQ,electric,"506,883.94","6,955,233.16",141829095,153.0697116,-27.52661515,ELECTRIC
69,D2996,GREY GUMS PARK,126048,BBQ,Electric,"501,326","6,963,547",141829095,153.0134189,-27.45157493,ELECTRIC
70,D0530,LOTA CAMPING RESERVE,81243,BBQ,electric,"519,056.18","6,961,772.12",141829095,153.1928729,-27.46746563,ELECTRIC
71,D0204,GIBSON PARK,124035,BBQ,Electric,"501,467.02","6,967,972.28",141829095,153.01484069999998,-27.41162318,ELECTRIC
72,D0228,7TH BRIGADE PARK,182133,BBQ,Electric,"503,412.92","6,971,909.48",141829095,153.0345147,-27.37607432,ELECTRIC
73,D0616,RAVEN STREET RESERVE,36582,BBQ,electric,"500,480.3204","6,970,454.405",141829095,153.004858,-27.38921506,ELECTRIC
74,D0260,FIG TREE POCKET RIVERSIDE RESERVE,80048,BBQ,electric,"497,338.81","6,953,530.4",141829095,152.9730472,-27.54200237,ELECTRIC
75,D0616,RAVEN STREET RESERVE,36531,BBQ,electric,"500,491.2462",6970460.813999999,141829095,153.00496850000002,-27.3891572,ELECTRIC
76,D1617,GREENWAYS ESPLANADE PARK,186921,BBQ,electric,"502,012.456","6,943,018.78",141829095,153.0203999,-27.63690065,ELECTRIC
77,D1845,ROCKS RIVERSIDE PARK,126146,BBQ,Electric,"496,396","6,953,354",141829095,152.9634978,-27.54359271,ELECTRIC
78,D0503,MANN PARK,191699,BBQ,electric,"503,267.523","6,964,700.346",141829095,153.03306369999999,-27.44115922,ELECTRIC
79,D1263,KURILPA POINT PARK,118851,BBQ,electric,"501,626.8803",6961541.598999999,141829095,153.0164665,-27.46967936,ELECTRIC
80,D0036,HARDCASTLE PARK,160993,BBQ,electric,"505,320.3837","6,962,563.381",141829095,153.05384569999998,-27.46044528,ELECTRIC
81,D0214,HUXTABLE PARK,66200,BBQ,electric,"501,454.3113",6970582.938999999,141829095,153.014709,-27.38805396,ELECTRIC
82,D1617,GREENWAYS ESPLANADE PARK,34441,BBQ,electric,"502,332.9143",6943884.632999999,141829095,153.0236467,-27.6290834,ELECTRIC
83,D0160,WALTON BRIDGE RESERVE,88771,BBQ,electric,"495,473.44","6,964,280.06",141829095,152.9541947,-27.44494997,ELECTRIC
84,D1902,EAGLE FARM ROAD PARK,121894,BBQ,Electric,"511,864.47","6,967,017.82",141829095,153.1200325,-27.42018922,ELECTRIC
85,D0463,KALINGA PARK,28927,BBQ,electric,"505,409.3481","6,968,100.254",141829095,153.0547214,-27.41045787,ELECTRIC
86,D0502,FLYNN OVAL PARK,108920,BBQ,electric,"503,357.5346","6,964,874.721",141829095,153.033974,-27.43958474,ELECTRIC
87,D2993,MINGOOLA PARK,162203,BBQ,electric,"510,030.92","6,962,745.36",141829095,153.1015178,-27.45877579,ELECTRIC
88,D2635,HAZEL STREET PARK,166523,BBQ,electric,"498,868.05","6,943,294.91",141829095,152.9885259,-27.63440883,ELECTRIC
89,D0276,SANDGATE FORESHORES PARK,105335,BBQ,electric,"506,406.63","6,981,115.31",141829095,153.06474169999998,-27.29295185,ELECTRIC
90,D0119,C.B.MOTT PARK,118395,BBQ,electric,"505,703.02","6,956,411.16",141829095,153.0577472,-27.51598575,ELECTRIC
91,D0597,PRESTON ROAD PARK,118397,BBQ,electric,"511,662.67","6,958,914.8",141829095,153.1180688,-27.49334493,ELECTRIC
92,D0360,WOOLLOONGABBA ROTARY PARK,108881,BBQ,Electric,"504,172","6,959,301",141829095,153.0422346,-27.489902,ELECTRIC
93,D1865,SUMMIT STREET PARK,113822,BBQ,electric,"512,801.16","6,959,241.07",141829095,153.129591,-27.49038913,ELECTRIC
94,D2232,HABITAT DRIVE PARK,81496,BBQ,electric,"516,131.82","6,959,613.96",141829095,153.16330349999998,-27.48698723,ELECTRIC
95,D2232,HABITAT DRIVE PARK,81497,BBQ,electric,"516,135.72","6,959,616.27",141829095,153.1633429,-27.48696633,ELECTRIC
96,D1263,KURILPA POINT PARK,118854,BBQ,electric,"501,616.8781","6,961,538.6",141829095,153.01636519999997,-27.46970645,ELECTRIC
97,D0497,HINKLER PARK,23360,BBQ,electric,"502,360.1256","6,965,732.336",141829095,153.02387980000003,-27.43184425,ELECTRIC
98,D2118,METROPLEX AVENUE (NO. 69) PARK,101057,BBQ,electric,"509,789.12","6,963,897.65",141829095,153.0990614,-27.44837468,ELECTRIC
99,D1931,CALLIOPE CIRCUIT PARK,101442,BBQ,electric,"509,338.39","6,962,185",141829095,153.0945134,-27.46383965,ELECTRIC
100,D0483,WESTBROOK PARK,48146,BBQ,electric,"497,734.37","6,959,650.51",141829095,152.9770649,-27.48675116,ELECTRIC
101,D0530,LOTA CAMPING RESERVE,180693,BBQ,Electric,"519,012.48","6,961,864.41",141829095,153.1924292,-27.46663306,ELECTRIC
102,D2047,WYANDRA CRESCENT PARK,101623,BBQ,electric,"509,087.42","6,962,315.51",141829095,153.0919724,-27.4626631,ELECTRIC
103,D2472,MAIDSTONE STREET PARK,111620,BBQ,electric,"501,571.34","6,963,195",141829095,153.0159022,-27.45475252,ELECTRIC
104,D0132,FERGUSON PARK (ENOGGERA),123320,BBQ,electric (duplicates 66181),"498,649.17","6,966,976.49",141829095,152.9863336,-27.42061335,ELECTRIC
105,D0208,TERALBA PARK,47970,BBQ,Electric barbecue,"498,100.47","6,968,966.34",141829095,152.9807855,-27.4026482,ELECTRIC
106,D0064,GLINDEMANN PARK,13567,BBQ,Electric barbecue,"495,611.23","6,950,455.19",141829095,152.9555389,-27.56976049,ELECTRIC
107,D0664,YIMBUN PARK,47883,BBQ,Electric barbecue,"507,434.82","6,949,922",141829095,153.0753229,-27.57456074,ELECTRIC
108,D0723,CARINDALE REC RESERVE,66097,BBQ,Electric Barbecue,"510,731.81","6,958,531.11",141829095,153.10864850000002,-27.49681653,ELECTRIC
109,D0284,SANDGATE SECOND LAGOON RESERVE,130001,BBQ,Electric barbecue double,"506,492.07","6,978,638.27",141829095,153.0656182,-27.31531465,ELECTRIC
110,D0274,BRIGHTON PARK,45808,BBQ,Electric barbecue double,"506,019.77","6,982,253.69",141829095,153.0608267,-27.28267606,ELECTRIC
111,D0284,SANDGATE SECOND LAGOON RESERVE,130064,BBQ,Electric barbecue double,"506,300.11","6,978,747.49",141829095,153.0636774,-27.31432949,ELECTRIC
112,D1252,TINCHI TAMBA WETLANDS RESERVE,77600,BBQ,Electric barbecue Siingle,"503,245","6,980,364",141829095,153.0327941,-27.29974598,ELECTRIC
113,D1252,TINCHI TAMBA WETLANDS RESERVE,79666,BBQ,Electric barbecue Single,"503,295","6,980,382",141829095,153.0332993,-27.29958335,ELECTRIC
114,D0989,LEACROFT ROAD PARK,26204,BBQ,Electric Barbecue Single,"516,232.45","6,950,362.06",141829095,153.1644464,-27.57051103,ELECTRIC
115,D1810,PACIFIC PARADE PARK,79546,BBQ,Electric barbecue Single,"498,011.6","6,944,680.01",141829095,152.9798467,-27.62190346,ELECTRIC
116,D0577,BENELONG PARK,52822,BBQ,Electric barbecue single plate,"503,998.5","6,968,697.84",141829095,153.0404472,-27.405067699999996,ELECTRIC
117,D0103,GOULD ROAD PARK,179722,BBQ,ELECTRIC BBQ,"502,024.78","6,964,539.13",141829095,153.0204888,-27.442617100000003,ELECTRIC
118,D2024,COWLISHAW STREET PARK,33820,BBQ,ELECTRIC BBQ,"504,138.79","6,963,928.37",141829095,153.04188259999998,-27.44812626,ELECTRIC
119,D0477,MILTON PARK,48002,BBQ,ELECTRIC BBQ,"500,101.75","6,961,427.03",141829095,153.00102990000002,-27.47071466,ELECTRIC
120,D0365,WILLIAMINA PARK,14062,BBQ,ELECTRIC BBQ,"504,493.09","6,960,017.19",141829095,153.0454824,-27.48343524,ELECTRIC
121,D0389,YERONGA MEMORIAL PARK,2478,BBQ,ELECTRIC BBQ,"502,111.47","6,956,171.83",141829095,153.0213806,-27.51815674,ELECTRIC
122,D0498,LANHAM PARK,23383,BBQ,ELECTRIC BBQ,"501,851.32","6,966,586.38",141829095,153.0187304,-27.4241347,ELECTRIC
123,D0473,RAINWORTH PARK,47989,BBQ,ELECTRIC BBQ,"498,323.94","6,961,832.7",141829095,152.9830362,-27.46705124,ELECTRIC
124,D0366,MOWBRAY PARK,28997,BBQ,ELECTRIC BBQ,"504,377.16","6,960,616.29",141829095,153.0443067,-27.47802696,ELECTRIC
125,D0753,JACK PYLE PARK,48340,BBQ,ELECTRIC BBQ,"506,161.68","6,946,878.19",141829095,153.06244009999998,-27.60204614,ELECTRIC
126,D0563,MORTIMER ROAD PARK,49969,BBQ,ELECTRIC BBQ,"501,657.08","6,949,554.15",141829095,153.0167885,-27.57790105,ELECTRIC
127,D0505,WINDSOR PARK,69576,BBQ,ELECTRIC BBQ,"503,788.26","6,965,706.85",141829095,153.0383298,-27.43207112,ELECTRIC
128,D0373,BRISBANE CORSO PARK,26525,BBQ,ELECTRIC BBQ,"501,353.13","6,957,553.89",141829095,153.0137001,-27.50568056,ELECTRIC
129,D1019,GUM NUT NOOK,53238,BBQ,ELECTRIC BBQ,"498,482.24","6,971,069.2",141829095,152.9846499,-27.38366388,ELECTRIC
130,D0471,TOOWONG MEMORIAL PARK,71498,BBQ,ELECTRIC BBQ,"499,236.16","6,960,343.6",141829095,152.992268,-27.48049564,ELECTRIC
131,D0563,MORTIMER ROAD PARK,49950,BBQ,ELECTRIC BBQ,"501,676.7","6,949,539.46",141829095,153.0169873,-27.57803364,ELECTRIC
132,D0797,PEPPERCORN STREET PARK,47393,BBQ,ELECTRIC BBQ,"505,700.61","6,946,540.09",141829095,153.0577694,-27.60510047,ELECTRIC
133,D0819,FALSTAFF STREET PARK,33594,BBQ,ELECTRIC BBQ,"505,087.55","6,946,380.77",141829095,153.0515574,-27.60654122,ELECTRIC
134,D0492,DOWNEY PARK,47432,BBQ,ELECTRIC BBQ,"502,488.57","6,964,658.62",141829095,153.0251816,-27.44153757,ELECTRIC
135,D0664,YIMBUN PARK,45829,BBQ,Electric BBQ,"507,438.04","6,949,957.13",141829095,153.0753553,-27.57424358,ELECTRIC
136,D0568,GRENIER PARK,50458,BBQ,ELECTRIC BBQ,"501,888.08","6,949,373.9",141829095,153.01912919999998,-27.57952801,ELECTRIC
137,D1426,SIR JAMES KILLEN RESERVE PARK,170855,BBQ,ELECTRIC BBQ,"505,018.24","6,948,509.53",141829095,153.0508462,-27.58732342,ELECTRIC
138,D1335,GAINSBOROUGH AVENUE PARK,161440,BBQ,Electric BBQ,"512,427.77","6,953,493.33",141829095,153.1258701,-27.54228266,ELECTRIC
139,D0449,BOYD PARK,70060,BBQ,ELECTRIC BBQ,"505,685.34","6,969,080.67",141829095,153.05750880000002,-27.40160549,ELECTRIC
140,D2028,TALISKER PLACE PARK,37651,BBQ,ELECTRIC BBQ,"502,464.17","6,942,716.37",141829095,153.0249795,-27.63962998,ELECTRIC
141,D0699,HERCULES STREET PARK,33579,BBQ,ELECTRIC BBQ,"506,859.86","6,964,916.12",141829095,153.0694129,-27.43919784,ELECTRIC
142,D1381,AMAZON PLACE PARK,172158,BBQ,ELECTRIC BBQ,"495,695.13","6,954,352.57",141829095,152.95640269999998,-27.53457568,ELECTRIC
143,D1572,WAKERLEY PARK,47720,BBQ,ELECTRIC BBQ,"514,865","6,959,669",141829095,153.15047869999998,-27.48650478,ELECTRIC
144,D0559,D.M.HENDERSON PARK,15889,BBQ,ELECTRIC BBQ,"507,084.58","6,950,467.71",141829095,153.07177140000002,-27.56963603,ELECTRIC
145,D1722,ALGESTER ROAD PARK (NO.515),28474,BBQ,ELECTRIC BBQ,"502,874.57","6,943,081.97",141829095,153.0291389,-27.63632862,ELECTRIC
146,D3013,PATONGA STREET PARK,169826,BBQ,ELECTRIC BBQ,"508,392.92","6,971,683.81",141829095,153.0848788,-27.37809015,ELECTRIC
147,D0559,D.M.HENDERSON PARK,15879,BBQ,ELECTRIC BBQ,"507,053.72","6,950,452.08",141829095,153.07145880000002,-27.5697773,ELECTRIC
148,D2147,WATHEROO PLACE PARK,174181,BBQ,ELECTRIC BBQ,"501,806.16","6,942,565.84",141829095,153.0183094,-27.64098998,ELECTRIC
149,D0375,FAIRFIELD PARK,174396,BBQ,ELECTRIC BBQ,"502,615.15","6,957,760.76",141829095,153.0264774,-27.50381111,ELECTRIC
150,D0317,NIXON PARK,46260,BBQ,ELECTRIC BBQ,"497,898.45","6,952,376.53",141829095,152.9787133,-27.55242036,ELECTRIC
151,D2996,GREY GUMS PARK,174848,BBQ,ELECTRIC BBQ,"501,326.64","6,963,547.21",141829095,153.0134254,-27.45157303,ELECTRIC
152,D1961,BUCKINGHAM PLACE PARK,170722,BBQ,ELECTRIC BBQ,"509,529.85","6,949,860.29",141829095,153.0965483,-27.57510472,ELECTRIC
153,D0095,NEW FARM PARK,145860,BBQ,ELECTRIC BBQ,"505,145.43","6,961,675.87",141829095,153.0520788,-27.468458399999996,ELECTRIC
154,D0192,WOOLCOCK PARK,36832,BBQ,ELECTRIC BBQ,"499,896.97","6,963,854.23",141829095,152.9989574,-27.44880189,ELECTRIC
155,D0192,WOOLCOCK PARK,28725,BBQ,ELECTRIC BBQ,"499,917.25","6,963,799.71",141829095,152.9991626,-27.4492941,ELECTRIC
156,D0563,MORTIMER ROAD PARK,34713,BBQ,ELECTRIC BBQ,"501,668.68","6,949,544.38",141829095,153.0169061,-27.57798923,ELECTRIC
157,D2190,BRUSH BOX PLACE PARK,134836,BBQ,ELECTRIC BBQ,"499,397.95","6,943,540.5",141829095,152.9938974,-27.63219204,ELECTRIC
158,D2190,BRUSH BOX PLACE PARK,134937,BBQ,ELECTRIC BBQ,"499,142.01","6,943,459.88",141829095,152.99130300000002,-27.63291972,ELECTRIC
159,D2554,MCLEOD COURT PARK,101012,BBQ,ELECTRIC BBQ,"499,593.55","6,970,452.51",141829095,152.99588909999997,-27.3892322,ELECTRIC
160,D2005,DAINTREE DRIVE PARK (NO.65),37572,BBQ,ELECTRIC BBQ,"503,034.44","6,942,536.58",141829095,153.0307608,-27.64125192,ELECTRIC
161,D1936,SEABROOK CIRCUIT PARK,142553,BBQ,ELECTRIC BBQ,"491,571.29","6,952,588.08",141829095,152.9146265,-27.55048592,ELECTRIC
162,D1722,ALGESTER ROAD PARK (NO.515),24401,BBQ,ELECTRIC BBQ,"502,835.92","6,943,059.41",141829095,153.02874719999997,-27.63653237,ELECTRIC
163,D0563,MORTIMER ROAD PARK,33997,BBQ,ELECTRIC BBQ,"501,652.95","6,949,545.89",141829095,153.0167467,-27.57797562,ELECTRIC
164,D1194,SPRINGFIELD CRESCENT PARK,3121,BBQ,ELECTRIC BBQ,"503,131.39","6,943,494.49",141829095,153.03174109999998,-27.63260391,ELECTRIC
165,D0227,MARCHANT PARK,153330,BBQ,ELECTRIC BBQ,"502,946.68","6,971,707.85",141829095,153.0298001,-27.37789574,ELECTRIC
166,D0200,KOKODA PARK,153840,BBQ,ELECTRIC BBQ,"502,823.62","6,966,878.37",141829095,153.0285668,-27.42149693,ELECTRIC
167,D3124,RAY STREET PARK,156026,BBQ,ELECTRIC BBQ,"501,970.22","6,975,643.8",141829095,153.0199187,-27.34236323,ELECTRIC
168,D0010,FAULKNER PARK,172113,BBQ,ELECTRIC BBQ,"498,631.17","6,956,137.92",141829095,152.98613930000002,-27.51846383,ELECTRIC
169,D1709,ALBANY CREEK ROAD PARK (NO.151),143347,BBQ,ELECTRIC BBQ,"500,658.35","6,973,759.41",141829095,153.00665690000002,-27.35937703,ELECTRIC
170,D0311,NOSWORTHY PARK,179670,BBQ,Electric BBQ,"498,777.31","6,953,800.46",141829095,152.9876167,-27.53956636,ELECTRIC
171,D2005,DAINTREE DRIVE PARK (NO.65),178570,BBQ,ELECTRIC BBQ,"503,039.66","6,942,530.71",141829095,153.0308138,-27.64130491,ELECTRIC
172,D0360,WOOLLOONGABBA ROTARY PARK,170231,BBQ,ELECTRIC BBQ,"504,169.16","6,959,301.48",141829095,153.04220580000003,-27.48989768,ELECTRIC
173,D0095,NEW FARM PARK,145772,BBQ,ELECTRIC BBQ,"505,151.01","6,961,673.91",141829095,153.0521353,-27.46847607,ELECTRIC
174,D0085,PERRY PARK,35758,BBQ,ELECTRIC BBQ,"504,094.19","6,964,339.89",141829095,153.04142990000003,-27.44441119,ELECTRIC
175,D0019,THE BEIRNE PARK,182260,BBQ,Electric BBQ,"506,782.25","6,967,141.9",141829095,153.06861519999998,-27.41910381,ELECTRIC
176,D0658,KIANAWAH ROAD PARK (NO.330),179879,BBQ,Electric BBQ,"514,479.34","6,962,926.72",141829095,153.1465358,-27.45709839,ELECTRIC
177,D1381,AMAZON PLACE PARK,4632,BBQ,ELECTRIC BBQ,"495,683.07","6,954,374.44",141829095,152.95628069999998,-27.5343782,ELECTRIC
178,D0019,THE BEIRNE PARK,182259,BBQ,Electric BBQ,"506,820.69","6,967,148.22",141829095,153.069004,-27.41904656,ELECTRIC
179,D1426,SIR JAMES KILLEN RESERVE PARK,178852,BBQ,ELECTRIC BBQ,"505,011.54","6,948,508.45",141829095,153.05077830000002,-27.58733319,ELECTRIC
180,D0678,COL BENNET PARK,47489,BBQ,ELECTRIC BBQ,"502,744","6,945,334",141829095,153.0278102,-27.61599805,ELECTRIC
181,D0650,JAMBOREE LIONS COMMUNITY PARK,7761,BBQ,ELECTRIC BBQ,"491,913.98","6,951,651.28",141829095,152.91809130000001,-27.55894532,ELECTRIC
182,D0699,HERCULES STREET PARK,33241,BBQ,ELECTRIC BBQ,"506,848.78","6,964,961.36",141829095,153.0693005,-27.43878947,ELECTRIC
